"CD_RES_SECTOR","INDICATOR","MEASURE"
"11001A00-","score",6.50337747400467
"11001A01-","score",1.62883273337048
"11001A020","score",1.5404930756005
"11001A030","score",4.44045856853109
"11001A042","score",3.7987190516737
"11001A052","score",1.69334385079683
"11001A063","score",1.49904723044441
"11001A074","score",10.708389875778
"11001A091","score",8.39103518687438
"11001A0MA","score",6.82396978786729
"11001A0PA","score",19.1659222750359
"11001A10-","score",4.3171346956036
"11001A173","score",9.11290542507638
"11001A190","score",1.66681582759934
"11001A20-","score",1.52113259857182
"11001A21-","score",2.18916813881677
"11002A00-","score",33.7712406874381
"11002A01-","score",49.2312390743504
"11002A02-","score",25.9400276908075
"11002A03-","score",32.3929801507863
"11002A04-","score",23.8896745252176
"11002A05-","score",38.2398138302309
"11002A10-","score",20.7032400587246
"11002A11-","score",28.1485627234219
"11002A12-","score",25.6558674112092
"11002A13-","score",38.0455637314996
"11002A14-","score",18.7315214626149
"11002A15-","score",54.6681127984383
"11002A21-","score",50.5246888417304
"11002A22-","score",43.5681068867972
"11002B701","score",50.7728415533601
"11002B71-","score",18.5506838172164
"11002B721","score",23.4609428816218
"11002B73-","score",19.3303099804112
"11002B742","score",10.0858763193716
"11002B752","score",23.297847952081
"11002B813","score",12.7009409649701
"11002B824","score",53.7051585689282
"11002C20-","score",49.3444668369
"11002C21-","score",43.7066246053791
"11002C22-","score",69.455147479925
"11002C23-","score",45.6822770470603
"11002C24-","score",55.5834805691209
"11002C25-","score",37.6321518594558
"11002C31-","score",28.3784867854728
"11002C41-","score",64.4579757907275
"11002C42-","score",63.2026476356197
"11002C43-","score",48.0901621613427
"11002C44-","score",65.7237754224976
"11002C45-","score",50.1704379525295
"11002D30-","score",33.9529621335296
"11002D31-","score",32.7383002986699
"11002D32-","score",25.9866786237689
"11002D33-","score",29.3215134506044
"11002D34-","score",29.1796097257769
"11002D35-","score",27.6637337592377
"11002D38-","score",28.5034371826501
"11002D41-","score",27.9911664728286
"11002D42-","score",22.6977759496594
"11002E122","score",49.0441082962972
"11002E131","score",33.5249440176467
"11002E14-","score",29.078924981909
"11002E15-","score",24.8702560416546
"11002E50-","score",33.846444241091
"11002E521","score",40.3499754896251
"11002E53-","score",40.4442633441143
"11002E551","score",14.359998798003
"11002F11-","score",38.8973649967713
"11002F12-","score",59.7452859934771
"11002F21-","score",15.0501356090229
"11002F223","score",65.0621883526933
"11002F60-","score",39.7634632997968
"11002F61-","score",45.145975980495
"11002F62-","score",61.8561093534107
"11002F64-","score",48.4885371574482
"11002F65-","score",24.5020260285631
"11002F6MJ","score",15.8281364929163
"11002G51-","score",21.4032469348687
"11002G522","score",24.3730697033609
"11002G53-","score",17.9014983272679
"11002G54-","score",13.2179107467443
"11002G552","score",17.6649338482906
"11002G59-","score",13.4045756237368
"11002G72-","score",12.5228940082748
"11002G73-","score",12.609024942034
"11002G74-","score",20.9206343722085
"11002G75-","score",13.4992837160604
"11002G780","score",13.0849412356446
"11002H40-","score",65.190899414067
"11002H41-","score",70.1342411082531
"11002H43-","score",64.1799078503328
"11002H44-","score",66.099347803279
"11002H83-","score",63.2769122271334
"11002H84-","score",62.7630015138673
"11002H8MJ","score",52.6649338492683
"11002J072","score",39.0860170887562
"11002J80-","score",44.3638382800001
"11002J81-","score",42.1194546100379
"11002J820","score",50.7633125414897
"11002J83-","score",56.4473040235002
"11002J84-","score",34.9612974507449
"11002J85-","score",51.529942212396
"11002J901","score",8.51001312200655
"11002J912","score",13.3365689068161
"11002J923","score",6.24497651360692
"11002J932","score",48.6862900472654
"11002J94-","score",9.94460524638548
"11002K171","score",26.1740397806493
"11002K172","score",37.4245874656679
"11002K173","score",21.7855921865679
"11002K174","score",20.6982696320899
"11002K214","score",29.5855043665534
"11002L000","score",15.1070793896781
"11002L011","score",14.9197260538673
"11002L022","score",42.0602457852154
"11002L090","score",13.9900269304512
"11002L100","score",18.3572284302855
"11002L111","score",17.4368687145831
"11002L122","score",15.7598445266445
"11002L17-","score",28.9678064803937
"11002L18-","score",10.9635614511176
"11002P00-","score",12.9665378864052
"11002P01-","score",19.7215773332604
"11002P02-","score",15.4098060068087
"11002P03-","score",8.2086082886752
"11002P04-","score",6.18757600566229
"11002P05-","score",4.80927272891942
"11002P100","score",6.82901911198014
"11002P111","score",8.4256450938701
"11002P12-","score",5.25209837257866
"11002P20-","score",5.39771370027844
"11002P21-","score",7.34207528321832
"11002P22-","score",4.12633268760104
"11002P23-","score",7.60597095918083
"11002P242","score",5.17527000536071
"11002P291","score",9.44133926486263
"11002P500","score",8.04978640548996
"11002P589","score",4.11995582365683
"11002P590","score",4.83992123992607
"11002Q001","score",42.7455576497242
"11002Q012","score",32.5762531887951
