"code","municipality_name","INDICATOR","MEASURE"
"11001","AARTSELAAR","average_score_income_2001",8.36293146181558
"11002","ANTWERPEN","average_score_income_2001",34.4868290183024
"11004","BOECHOUT","average_score_income_2001",8.54013391136018
"11005","BOOM","average_score_income_2001",20.2158853317124
"11007","BORSBEEK","average_score_income_2001",6.84337365936744
"11008","BRASSCHAAT","average_score_income_2001",15.1336364634766
"11009","BRECHT","average_score_income_2001",18.3850300209548
"11013","EDEGEM","average_score_income_2001",5.30810441979665
"11016","ESSEN","average_score_income_2001",22.7080641268034
"11018","HEMIKSEM","average_score_income_2001",20.3896312149372
"11021","HOVE","average_score_income_2001",2.45126177015999
"11022","KALMTHOUT","average_score_income_2001",18.0237559325744
"11023","KAPELLEN","average_score_income_2001",13.006898290671
"11024","KONTICH","average_score_income_2001",11.0277445800987
"11025","LINT","average_score_income_2001",3.78468757444725
"11029","MORTSEL","average_score_income_2001",5.65829796690343
"11030","NIEL","average_score_income_2001",6.66586833073061
"11035","RANST","average_score_income_2001",10.8165741797022
"11037","RUMST","average_score_income_2001",10.4654844233488
"11038","SCHELLE","average_score_income_2001",12.5527240756409
"11039","SCHILDE","average_score_income_2001",28.3040536648212
"11040","SCHOTEN","average_score_income_2001",11.1112426928128
"11044","STABROEK","average_score_income_2001",4.01158259566059
"11050","WIJNEGEM","average_score_income_2001",10.4190103776687
"11052","WOMMELGEM","average_score_income_2001",16.6877732527191
"11053","WUUSTWEZEL","average_score_income_2001",24.8862530031179
"11054","ZANDHOVEN","average_score_income_2001",12.0492921905099
"11055","ZOERSEL","average_score_income_2001",12.9575002977883
"11056","ZWIJNDRECHT","average_score_income_2001",6.68787300445052
"11057","MALLE","average_score_income_2001",11.5143260464994
"12002","BERLAAR","average_score_income_2001",7.24946126494978
"12005","BONHEIDEN","average_score_income_2001",11.6983345719163
"12007","BORNEM","average_score_income_2001",16.7087430519831
"12009","DUFFEL","average_score_income_2001",10.2084010888071
"12014","HEIST-OP-DEN-BERG","average_score_income_2001",8.39283899680864
"12021","LIER","average_score_income_2001",14.8332093188373
"12025","MECHELEN","average_score_income_2001",21.001212518078
"12026","NIJLEN","average_score_income_2001",16.1396406636096
"12029","PUTTE","average_score_income_2001",14.6109576252262
"12030","PUURS","average_score_income_2001",14.4212467596352
"12034","SINT-AMANDS","average_score_income_2001",10.5823047026061
"12035","SINT-KATELIJNE-WAVER","average_score_income_2001",9.82275155074367
"12040","WILLEBROEK","average_score_income_2001",14.1917735599538
"13001","ARENDONK","average_score_income_2001",11.0743591909624
"13002","BAARLE-HERTOG","average_score_income_2001",41.1662504039697
"13003","BALEN","average_score_income_2001",9.97005075203373
"13004","BEERSE","average_score_income_2001",7.91736814190032
"13006","DESSEL","average_score_income_2001",13.808816195602
"13008","GEEL","average_score_income_2001",15.5360706792161
"13010","GROBBENDONK","average_score_income_2001",15.5617559416699
"13011","HERENTALS","average_score_income_2001",12.9275552862946
"13012","HERENTHOUT","average_score_income_2001",7.32437037487963
"13013","HERSELT","average_score_income_2001",15.2621827396757
"13014","HOOGSTRATEN","average_score_income_2001",39.6207505831026
"13016","HULSHOUT","average_score_income_2001",7.33000829124021
"13017","KASTERLEE","average_score_income_2001",13.5532366220523
"13019","LILLE","average_score_income_2001",17.7087060898393
"13021","MEERHOUT","average_score_income_2001",10.3580158109186
"13023","MERKSPLAS","average_score_income_2001",12.5686240212814
"13025","MOL","average_score_income_2001",12.4025645105943
"13029","OLEN","average_score_income_2001",9.01586109875294
"13031","OUD-TURNHOUT","average_score_income_2001",13.9344399698127
"13035","RAVELS","average_score_income_2001",26.7013126157485
"13036","RETIE","average_score_income_2001",21.8413409830671
"13037","RIJKEVORSEL","average_score_income_2001",25.5038603896476
"13040","TURNHOUT","average_score_income_2001",14.004982391283
"13044","VORSELAAR","average_score_income_2001",20.9585528517986
"13046","VOSSELAAR","average_score_income_2001",9.86043360950267
"13049","WESTERLO","average_score_income_2001",5.33357931446887
"13053","LAAKDAL","average_score_income_2001",11.2537663388626
"21001","ANDERLECHT","average_score_income_2001",38.7625124866851
"21002","OUDERGEM","average_score_income_2001",30.9174872937399
"21003","SINT-AGATHA-BERCHEM","average_score_income_2001",17.3744147019841
"21004","BRUSSEL","average_score_income_2001",50.3932803236356
"21005","ETTERBEEK","average_score_income_2001",39.5296484320206
"21006","EVERE","average_score_income_2001",33.8646349165313
"21007","VORST","average_score_income_2001",42.7189778310526
"21008","GANSHOREN","average_score_income_2001",13.4175906212095
"21009","ELSENE","average_score_income_2001",45.1035873741549
"21010","JETTE","average_score_income_2001",23.5061569381948
"21011","KOEKELBERG","average_score_income_2001",37.940510924299
"21012","SINT-JANS-MOLENBEEK","average_score_income_2001",63.4417290839191
"21013","SINT-GILLIS","average_score_income_2001",70.2763337118237
"21014","SINT-JOOST-TEN-NODE","average_score_income_2001",88.7167423897941
"21015","SCHAARBEEK","average_score_income_2001",63.809310771593
"21016","UKKEL","average_score_income_2001",43.6056236324871
"21017","WATERMAAL-BOSVOORDE","average_score_income_2001",21.5775666877357
"21018","SINT-LAMBRECHTS-WOLUWE","average_score_income_2001",29.0975436675644
"21019","SINT-PIETERS-WOLUWE","average_score_income_2001",31.7311799890474
"23002","ASSE","average_score_income_2001",10.661944334922
"23003","BEERSEL","average_score_income_2001",13.9349127633671
"23009","BEVER","average_score_income_2001",28.2827748360576
"23016","DILBEEK","average_score_income_2001",10.2158210365635
"23023","GALMAARDEN","average_score_income_2001",9.10959619638548
"23024","GOOIK","average_score_income_2001",12.4182488390486
"23025","GRIMBERGEN","average_score_income_2001",8.47172399737213
"23027","HALLE","average_score_income_2001",8.9953066737003
"23032","HERNE","average_score_income_2001",15.3194310999333
"23033","HOEILAART","average_score_income_2001",36.0952969065392
"23038","KAMPENHOUT","average_score_income_2001",8.21604624747103
"23039","KAPELLE-OP-DEN-BOS","average_score_income_2001",6.07700981503179
"23044","LIEDEKERKE","average_score_income_2001",11.9947037513827
"23045","LONDERZEEL","average_score_income_2001",19.614120445953
"23047","MACHELEN","average_score_income_2001",9.25546921079938
"23050","MEISE","average_score_income_2001",12.0048837815566
"23052","MERCHTEM","average_score_income_2001",13.528216640409
"23060","OPWIJK","average_score_income_2001",10.3409344127832
"23062","OVERIJSE","average_score_income_2001",38.0083658761042
"23064","PEPINGEN","average_score_income_2001",10.9813989002122
"23077","SINT-PIETERS-LEEUW","average_score_income_2001",7.36436219261574
"23081","STEENOKKERZEEL","average_score_income_2001",6.2711498071299
"23086","TERNAT","average_score_income_2001",7.25628486211493
"23088","VILVOORDE","average_score_income_2001",8.91434926178131
"23094","ZAVENTEM","average_score_income_2001",24.7079209810973
"23096","ZEMST","average_score_income_2001",4.43044081199827
"23097","ROOSDAAL","average_score_income_2001",9.92369026957764
"23098","DROGENBOS","average_score_income_2001",24.5625850802952
"23099","KRAAINEM","average_score_income_2001",32.7385396406584
"23100","LINKEBEEK","average_score_income_2001",24.3053483069589
"23101","SINT-GENESIUS-RODE","average_score_income_2001",39.914717501044
"23102","WEMMEL","average_score_income_2001",16.7029038469905
"23103","WEZEMBEEK-OPPEM","average_score_income_2001",26.2421087025138
"23104","LENNIK","average_score_income_2001",6.17214180950213
"23105","AFFLIGEM","average_score_income_2001",10.7033825673658
"24001","AARSCHOT","average_score_income_2001",11.2910761530226
"24007","BEGIJNENDIJK","average_score_income_2001",4.58057897742002
"24008","BEKKEVOORT","average_score_income_2001",10.3939511247803
"24009","BERTEM","average_score_income_2001",18.4202572231176
"24011","BIERBEEK","average_score_income_2001",7.76008931837259
"24014","BOORTMEERBEEK","average_score_income_2001",10.0277139742351
"24016","BOUTERSEM","average_score_income_2001",4.91964913326555
"24020","DIEST","average_score_income_2001",13.4749090493903
"24028","GEETBETS","average_score_income_2001",19.3045196107963
"24033","HAACHT","average_score_income_2001",7.75231802967734
"24038","HERENT","average_score_income_2001",7.61408608960113
"24041","HOEGAARDEN","average_score_income_2001",9.03759698181799
"24043","HOLSBEEK","average_score_income_2001",5.75693141129923
"24045","HULDENBERG","average_score_income_2001",18.6937678849586
"24048","KEERBERGEN","average_score_income_2001",14.5614589998497
"24054","KORTENAKEN","average_score_income_2001",19.5346160807119
"24055","KORTENBERG","average_score_income_2001",13.9950116801089
"24059","LANDEN","average_score_income_2001",6.68812905725808
"24062","LEUVEN","average_score_income_2001",16.8555990455014
"24066","LUBBEEK","average_score_income_2001",7.53613803112265
"24086","OUD-HEVERLEE","average_score_income_2001",8.42912792798701
"24094","ROTSELAAR","average_score_income_2001",12.0320126813274
"24104","TERVUREN","average_score_income_2001",31.0789672831067
"24107","TIENEN","average_score_income_2001",9.41678270600423
"24109","TREMELO","average_score_income_2001",14.4716870600484
"24130","ZOUTLEEUW","average_score_income_2001",12.8596592124956
"24133","LINTER","average_score_income_2001",9.4357299263894
"24134","SCHERPENHEUVEL-ZICHEM","average_score_income_2001",7.39449488468734
"24135","TIELT-WINGE","average_score_income_2001",9.25418724361247
"24137","GLABBEEK","average_score_income_2001",7.92569242820874
"25005","BEAUVECHAIN","average_score_income_2001",14.710137698718
"25014","BRAINE-L'ALLEUD","average_score_income_2001",9.99620490196159
"25015","BRAINE-LE-CHATEAU","average_score_income_2001",12.2940202786304
"25018","CHAUMONT-GISTOUX","average_score_income_2001",16.3360771506129
