"code","municipality_name","average_score_income_2001","rank_average_score_income_2001","decile_income_2001","average_score_employment_2001","rank_average_score_employment_2001","decile_employment_2001","average_score_education_2001","rank_average_score_education_2001","decile_education_2001","average_score_housing_2001","rank_average_score_housing_2001","decile_housing_2001","average_score_crime_2001","rank_average_score_crime_2001","decile_crime_2001","average_score_health_2001","rank_average_score_health_2001","decile_health_2001","average_score_bimd_2001","rank_average_score_bimd_2001","decile_bimd_2001"
11001,"AARTSELAAR",8.36293146181558,534,10,0.862894365032871,586,10,1.6196327519493,575,10,3.44016232925122,587,10,12.6204988711448,338,6,1.45220810834745,543,10,3.61495386255406,584,10
11002,"ANTWERPEN",34.4868290183024,74,2,26.6877065316042,155,3,36.3749120172856,86,2,28.3183324025353,154,3,63.5097830354406,31,1,5.70312587168321,437,8,29.6073430072075,122,3
11004,"BOECHOUT",8.54013391136018,529,9,3.37420418123463,537,10,1.46098241252115,577,10,5.27572642422775,569,10,8.25779459735146,410,7,2.25080862646927,514,9,4.28998320912138,581,10
11005,"BOOM",20.2158853317124,250,5,19.6787725700956,245,5,31.9181772464056,123,3,22.7693390676023,237,5,32.2673835433193,140,3,2.20485181192324,515,9,21.3179737010578,230,4
11007,"BORSBEEK",6.84337365936744,565,10,2.64147145080954,553,10,6.7959506828766,481,9,12.2308967730183,434,8,26.8459084395409,179,4,0.310464256534899,584,10,6.81945626916458,551,10
11008,"BRASSCHAAT",15.1336364634766,356,7,4.2666720608088,519,9,2.77317828441206,554,10,5.73865303520462,562,10,17.8410666710024,268,5,8.90711779483541,377,7,7.66227523401621,541,10
11009,"BRECHT",18.3850300209548,284,5,6.00552987950773,484,9,7.08635912465265,471,8,8.51193850547051,502,9,7.87465172027505,417,8,7.94537349230382,394,7,9.51203114693557,511,9
11013,"EDEGEM",5.30810441979665,580,10,1.64867928093241,574,10,0.762811394126797,585,10,4.81228452296531,574,10,9.62210547886209,386,7,0.423551051610107,578,10,2.84854019880693,588,10
11016,"ESSEN",22.7080641268034,214,4,6.78009717872769,474,9,4.65510513110806,526,9,7.86341606767917,519,9,25.0594675149889,194,4,3.11426567549396,486,9,9.96103418110865,498,9
11018,"HEMIKSEM",20.3896312149372,245,5,13.0863886666453,350,6,18.4553240237183,257,5,20.3388751175737,273,5,2.95742166756004,518,9,2.5423702847464,506,9,14.8890928759721,370,7
11021,"HOVE",2.45126177015999,589,10,1.41555228776018,578,10,0.170942929821246,589,10,3.39181958346425,589,10,15.8378410682935,293,5,0.168824900718742,588,10,2.14208727008147,589,10
11022,"KALMTHOUT",18.0237559325744,292,5,2.38107446807527,558,10,2.01932486448776,567,10,5.829709579767,560,10,13.4354200441045,326,6,2.57701083054982,502,9,6.51857636000462,556,10
11023,"KAPELLEN",13.006898290671,414,8,4.31875176610327,515,9,4.02329248069059,533,10,7.07896677258891,535,10,8.0928083599716,413,8,0.469949488177342,577,10,6.00793098864103,561,10
11024,"KONTICH",11.0277445800987,469,8,2.37225056634978,559,10,2.37186145220582,561,10,6.02223993724061,553,10,18.6939053024903,258,5,4.7115472999828,454,8,5.81772774304917,566,10
11025,"LINT",3.78468757444725,588,10,2.04444968152715,565,10,0.980493699871878,581,10,5.58162433266151,565,10,4.17244893924961,491,9,13.9383391556014,297,6,4.54756784636476,577,10
11029,"MORTSEL",5.65829796690343,578,10,6.33579283676075,477,9,3.04245255758698,551,10,8.17402591270171,512,9,22.9792611534531,213,4,1.2021072272213,550,10,5.71481432879069,568,10
11030,"NIEL",6.66586833073061,570,10,18.1962360009302,262,5,28.6290807300024,156,3,26.0307415396652,189,4,9.27336604497664,392,7,9.72125137310622,360,7,17.9561582879973,293,5
11035,"RANST",10.8165741797022,476,9,1.93173164816531,568,10,3.98577861861406,534,10,6.47367206626574,546,10,16.0692169993038,290,5,1.60678952699428,534,10,5.56163590918121,570,10
11037,"RUMST",10.4654844233488,485,9,5.73741352621257,486,9,8.74738983358278,432,8,10.7346281564598,457,8,24.9451636715424,195,4,0.752567591253078,567,10,8.39776459404202,528,9
11038,"SCHELLE",12.5527240756409,428,8,10.2610545533753,408,7,13.39459952118,333,6,10.5465714350891,464,8,4.59215287610665,482,9,0.642340525588472,571,10,9.81935004400518,503,9
11039,"SCHILDE",28.3040536648212,129,3,4.04766829455451,523,9,0.703550442977518,586,10,4.15057328820429,584,10,5.01965814850098,473,9,1.53988780662642,538,10,7.75078407426918,537,10
11040,"SCHOTEN",11.1112426928128,465,8,8.07370760889509,439,8,7.79260852381469,456,8,10.0947287134361,474,9,26.2348804761661,184,4,0.908745365515041,558,10,8.74740732694624,523,9
11044,"STABROEK",4.01158259566059,587,10,6.88972083793612,468,8,10.2813390902158,396,7,8.66625050410073,500,9,6.20011428312116,449,8,0.98994493743877,554,10,6.50903048966027,557,10
11050,"WIJNEGEM",10.4190103776687,486,9,2.98135776155254,543,10,3.94851918261333,536,10,11.2556001747511,452,8,25.5224496173223,190,4,0.392579461523273,581,10,6.69055284980484,553,10
11052,"WOMMELGEM",16.6877732527191,321,6,3.01908893937528,542,10,5.77249110558554,500,9,8.29634892054242,509,9,18.178416909688,264,5,0.368309577965757,583,10,7.5931148350759,543,10
11053,"WUUSTWEZEL",24.8862530031179,165,3,4.58452749224168,505,9,5.98088005147432,494,9,7.88721698592334,518,9,27.0949384536597,177,3,3.56595753941353,473,9,10.462099213424,487,9
11054,"ZANDHOVEN",12.0492921905099,444,8,3.83302651582695,526,9,2.67406069383107,555,10,6.93769136764144,537,10,17.9249414858592,267,5,0.283699671582047,585,10,5.82443464490162,565,10
11055,"ZOERSEL",12.9575002977883,415,8,4.4553943798052,508,9,1.62015906144829,574,10,5.3722828579145,567,10,1.18640372320599,560,10,0.408201602480049,580,10,4.81401155610024,576,10
11056,"ZWIJNDRECHT",6.68787300445052,568,10,7.67709248797441,451,8,16.0707300446874,293,5,15.0317929760314,393,7,15.5329166136269,297,6,0.582921951551541,572,10,10.0095286794756,495,9
11057,"MALLE",11.5143260464994,457,8,4.36341148232271,511,9,5.03013407150625,518,9,8.30714983596036,508,9,2.82629707281894,521,9,0.237873891706858,586,10,5.85614943643202,564,10
12002,"BERLAAR",7.24946126494978,558,10,14.4060614798953,333,6,16.8815018158347,284,5,17.3480606075028,335,6,3.0892981010403,515,9,2.78123795210882,498,9,11.7253396919214,452,8
12005,"BONHEIDEN",11.6983345719163,455,8,4.4728893048175,506,9,2.42094216468945,560,10,8.40177306676046,505,9,3.26631788203594,511,9,0.985880151906567,555,10,5.41094419342097,572,10
12007,"BORNEM",16.7087430519831,319,6,11.1825268976393,392,7,9.76074480145389,408,7,12.5385920355714,429,8,24.2710190138328,201,4,9.7408918907257,358,7,12.5739137299242,422,8
12009,"DUFFEL",10.2084010888071,495,9,10.9665964549171,396,7,9.45604793416422,414,8,14.4713197848764,403,7,14.8612673991253,306,6,18.2957208662549,246,5,12.2571309599118,430,8
12014,"HEIST-OP-DEN-BERG",8.39283899680864,533,10,18.9326357739452,249,5,9.09307784384821,424,8,16.431581942327,355,7,11.3233521845615,358,7,8.11632935209543,392,7,11.9867187185043,439,8
12021,"LIER",14.8332093188373,363,7,12.517816489518,367,7,13.3640198737496,335,6,24.0153544150183,217,4,38.742455142522,104,2,2.40223800572979,510,9,14.7109717503467,376,7
12025,"MECHELEN",21.001212518078,237,5,17.5494604547443,274,5,24.9941747752452,188,4,26.3165347555423,180,4,45.1716676463616,77,2,5.52540862348861,444,8,20.9935531775485,235,4
12026,"NIJLEN",16.1396406636096,335,6,10.5535932327307,401,7,14.8852403138791,312,6,13.2761042603166,417,8,10.0954724458025,378,7,8.87353440305671,378,7,12.887176279534,413,8
12029,"PUTTE",14.6109576252262,367,7,13.6659749563192,340,6,5.59022123390496,504,9,14.9974881136611,395,7,7.49778694488298,424,8,2.14565089353599,517,9,9.99930202310901,496,9
12030,"PUURS",14.4212467596352,372,7,7.84490436931719,448,8,4.11490400622584,532,10,10.7568696309412,456,8,6.50494393239882,443,8,0.853156067542646,561,10,7.54870727873946,545,10
12034,"SINT-AMANDS",10.5823047026061,482,9,11.4094512583173,389,7,10.4896686499692,392,7,13.2436735988685,419,8,50.3921552138546,60,2,5.68122271073541,440,8,12.3791105618103,427,8
12035,"SINT-KATELIJNE-WAVER",9.82275155074367,509,9,4.32664685759486,513,9,6.67081352272513,483,9,11.9616573037729,442,8,4.73377356318715,479,9,8.73003655216274,381,7,7.8380258188987,535,10
12040,"WILLEBROEK",14.1917735599538,382,7,18.4891632130345,259,5,19.0345583182551,250,5,20.7609059961978,264,5,34.4012992614899,127,3,12.6720027599992,316,6,18.0298282106655,289,5
13001,"ARENDONK",11.0743591909624,466,8,16.0096119906818,299,6,11.3604481493782,376,7,7.69978751317759,523,9,10.701219327985,368,7,3.55862397575813,474,9,10.480728963413,485,9
13002,"BAARLE-HERTOG",41.1662504039697,34,1,14.7042025564814,323,6,14.0208588675354,319,6,7.18058007419576,533,10,11.8980333076047,349,6,0.158070701071328,589,10,16.3750045906443,336,6
13003,"BALEN",9.97005075203373,502,9,17.8304274162585,268,5,8.33679776225859,440,8,12.1093163847246,438,8,8.75997542122147,401,7,13.6137754593347,301,6,11.9407576218931,443,8
13004,"BEERSE",7.91736814190032,540,10,11.9702164174754,379,7,11.7324488821438,364,7,7.16031517670197,534,10,11.7690797457366,351,6,2.55505343825383,505,9,8.95638841194129,517,9
13006,"DESSEL",13.808816195602,393,7,23.5143872263516,184,4,9.937495613381,404,7,8.45111616363102,504,9,31.0462778099249,148,3,22.364720303505,207,4,16.1237039483026,344,6
13008,"GEEL",15.5360706792161,348,6,14.6458610686679,325,6,7.99885291839151,450,8,12.2066998418637,435,8,29.1906459836425,161,3,15.3168134903983,281,5,13.6241588781961,399,7
13010,"GROBBENDONK",15.5617559416699,347,6,10.4328057545636,405,7,11.4484550904842,374,7,13.1828976366311,420,8,15.7612301277387,294,5,6.49440141747036,419,8,11.8006824763699,447,8
13011,"HERENTALS",12.9275552862946,417,8,18.16929121447,263,5,17.459594083536,274,5,16.1880448939516,363,7,33.8909931040146,130,3,11.3775368014768,334,6,16.4136547305519,335,6
13012,"HERENTHOUT",7.32437037487963,556,10,14.5767742555792,327,6,18.2962869742714,262,5,13.585375324627,413,8,9.38902598417373,390,7,7.4285133543991,405,7,12.5758352707222,421,8
13013,"HERSELT",15.2621827396757,354,7,24.7668017950992,172,3,11.5501381454708,372,7,16.4963344321413,354,7,9.15828481516871,394,7,8.81149688878838,379,7,15.1474203822206,364,7
13014,"HOOGSTRATEN",39.6207505831026,40,1,5.58067422481669,491,9,10.1308133588613,402,7,5.80156064864416,561,10,9.68074629452726,385,7,3.2560667949082,484,9,13.4156697325584,402,7
13016,"HULSHOUT",7.33000829124021,555,10,26.6232881575307,156,3,13.6570439144415,324,6,15.8086864123536,373,7,4.0342324902273,494,9,1.71894636589601,528,9,13.0357768096133,407,7
13017,"KASTERLEE",13.5532366220523,402,7,11.8433766749122,381,7,7.55517810860402,461,8,8.32398669590008,507,9,13.0923538532741,331,6,4.61206894289241,458,8,9.56314322502649,509,9
13019,"LILLE",17.7087060898393,301,6,11.2924355729112,391,7,12.3536788221885,350,6,8.40057475545663,506,9,18.8683345570421,256,5,2.77096780438882,499,9,11.5077961499262,463,8
13021,"MEERHOUT",10.3580158109186,490,9,19.5088812656552,247,5,6.52857048145504,485,9,13.8833080158903,411,7,11.5133215645227,355,7,3.44312487174328,481,9,10.7801530470497,479,9
13023,"MERKSPLAS",12.5686240212814,427,8,10.3884506700934,406,7,6.24060355777005,490,9,6.11273742180411,551,10,4.21870628484142,490,9,1.36185725767201,546,10,7.48369034388097,546,10
13025,"MOL",12.4025645105943,436,8,17.9699707832306,266,5,5.36413985132407,508,9,9.50975663154717,487,9,30.1711956146188,154,3,7.8366176709536,398,7,11.5260579477021,462,8
13029,"OLEN",9.01586109875294,523,9,13.651954866277,341,6,13.4983289594515,328,6,9.87128185188905,480,9,5.94913981925539,454,8,0.376113284558407,582,10,9.74271169429876,507,9
13031,"OUD-TURNHOUT",13.9344399698127,390,7,12.2361754948754,374,7,7.99841778057346,451,8,4.74282151667019,576,10,8.47963354197956,406,7,3.07329342179137,489,9,8.83012645594919,521,9
13035,"RAVELS",26.7013126157485,143,3,13.6343161242301,343,6,12.7943130193922,343,6,6.37405851899633,547,10,12.2892895922685,343,6,3.48376521648505,478,9,13.3588420427794,404,7
13036,"RETIE",21.8413409830671,225,4,13.7522953482286,339,6,10.6645756629113,389,7,5.10732542033985,571,10,5.70087443724745,459,8,6.050339316993,426,8,11.7435646144492,450,8
13037,"RIJKEVORSEL",25.5038603896476,154,3,12.3650760108802,372,7,13.777013910994,321,6,10.8182702058826,454,8,5.75031359134089,458,8,16.4672569837919,270,5,15.3983855158723,360,7
13040,"TURNHOUT",14.004982391283,386,7,26.9095436061607,153,3,21.4034319818393,228,4,19.0342170104657,302,6,57.1565749228457,43,1,18.3275057867418,245,5,21.995850360672,219,4
13044,"VORSELAAR",20.9585528517986,239,5,18.3752372956631,260,5,20.3268756099867,239,5,19.2179273507545,296,6,28.5149951387818,166,3,0.52757154208801,576,10,17.3360515228545,308,6
13046,"VOSSELAAR",9.86043360950267,507,9,6.07423466046228,482,9,5.6874625484596,502,9,4.67005180574481,579,10,5.5041737257161,463,8,1.23472620501153,548,10,5.76972467900715,567,10
13049,"WESTERLO",5.33357931446887,579,10,14.9128722250962,319,6,7.01963412458497,473,9,10.9429926147273,453,8,18.2635333124671,263,5,3.25487992011133,485,9,8.8470563849084,520,9
13053,"LAAKDAL",11.2537663388626,464,8,23.4829094893881,185,4,10.736751933302,388,7,13.0907298824121,421,8,14.9349338219627,305,6,32.8407348359568,135,3,17.2679895478291,309,6
21001,"ANDERLECHT",38.7625124866851,48,1,54.1679278480628,30,1,68.0754576172531,4,1,57.9149167765829,15,1,60.6467106683333,36,1,23.2036591941406,199,4,50.805074400288,12,1
21002,"OUDERGEM",30.9174872937399,111,2,9.89869345573963,411,7,9.51190244708619,413,8,16.2241448126538,362,7,54.1269378355077,50,1,1.501485180964,540,10,15.9064031524855,347,6
21003,"SINT-AGATHA-BERCHEM",17.3744147019841,308,6,23.9936195874336,178,4,36.5611457834245,84,2,27.1994534612422,168,3,40.467425487567,96,2,11.2671179874505,337,6,25.2072502954219,180,4
21004,"BRUSSEL",50.3932803236356,15,1,47.9370206549349,47,1,55.7940777462767,20,1,53.4138554784687,30,1,92.4479186924137,4,1,15.4172887385359,278,5,48.5616471994547,18,1
21005,"ETTERBEEK",39.5296484320206,41,1,24.6353231882787,173,3,31.8023089484978,125,3,44.3608045432116,61,2,54.5360666553901,49,1,14.1153818928115,293,5,32.2818028593573,92,2
21006,"EVERE",33.8646349165313,83,2,30.8708757935649,124,3,40.3231401116413,69,2,30.2473653564541,132,3,31.1954173836561,147,3,10.6398963831466,341,6,30.7207473000525,109,2
21007,"VORST",42.7189778310526,31,1,40.3640009268166,67,2,44.6238244448765,48,1,51.113613005477,34,1,56.2494903912053,45,1,6.95400539233132,411,7,39.2951691420245,57,1
21008,"GANSHOREN",13.4175906212095,407,7,35.634150150325,89,2,36.5565183866349,85,2,27.1971005844891,169,3,20.784448284323,235,4,38.8120762336442,100,2,29.8900766879018,118,2
21009,"ELSENE",45.1035873741549,23,1,23.589551219577,183,4,25.0008296267577,187,4,44.4481329412602,60,2,66.0881763738304,27,1,20.4856253967485,227,4,33.0333076948286,85,2
21010,"JETTE",23.5061569381948,195,4,39.2600490636836,72,2,41.6087589181407,62,2,35.9121552761629,93,2,28.6485467915135,165,3,16.8455028584948,265,5,32.3015069896852,91,2
21011,"KOEKELBERG",37.940510924299,53,1,51.9057165241195,36,1,62.1494713910896,13,1,51.00788260723,35,1,82.2233873405285,10,1,5.70304653621692,438,8,46.1244220759996,29,1
21012,"SINT-JANS-MOLENBEEK",63.4417290839191,7,1,60.2482608932043,18,1,75.0231777417142,3,1,60.3690593915663,9,1,66.7806140432958,26,1,5.21527269866214,448,8,56.6704729465523,3,1
21013,"SINT-GILLIS",70.2763337118237,2,1,53.195989494722,33,1,60.9604648951675,14,1,74.1081150067417,2,1,85.1538340460076,8,1,30.2800117345096,151,3,59.8504915785891,2,1
