"CS102001","REFNIS2001","SECTOR","COMMUNE"
"11001A00-","11001","AARTSELAAR-CENTRUM","AARTSELAAR"
"11001A01-","11001","DE LEEUWERIK","AARTSELAAR"
"11001A020","11001","BUERSTEDE","AARTSELAAR"
"11001A030","11001","YSSELAAR","AARTSELAAR"
"11001A042","11001","KLEINE GRIPPE","AARTSELAAR"
"11001A052","11001","LEUG","AARTSELAAR"
"11001A063","11001","TEN DORPE","AARTSELAAR"
"11001A074","11001","BRUINEN BAARD","AARTSELAAR"
"11001A091","11001","KLEISTRAAT - OEVER","AARTSELAAR"
"11001A0MA","11001","CLEYDAEL-KASTEEL","AARTSELAAR"
"11001A0PA","11001","ZINKVAL","AARTSELAAR"
"11001A10-","11001","'T HEIKEN","AARTSELAAR"
"11001A173","11001","NOTELAAN","AARTSELAAR"
"11001A190","11001","DE REUKENS","AARTSELAAR"
"11001A20-","11001","DE KOEKOEK","AARTSELAAR"
"11001A21-","11001","VIERPALEN","AARTSELAAR"
"1100212MQ","11002","STABROEK","ANTWERPEN"
"11002A00-","11002","ANTWERPEN KERN - OUDE STAD (SPAANSE WALLEN )","ANTWERPEN"
"11002A01-","11002","KLAPDORP - BROUWERSVLIET","ANTWERPEN"
"11002A02-","11002","GROENPLAATS (SPAANSE WALLEN)","ANTWERPEN"
"11002A03-","11002","HOOGSTRAAT (SPAANSE WALLEN)","ANTWERPEN"
"11002A04-","11002","OUDAAN (SPAANSE WALLEN)","ANTWERPEN"
"11002A05-","11002","GEVANGENIS (SPAANSE WALLEN)","ANTWERPEN"
"11002A081","11002","SCHELDEKADEN NOORD","ANTWERPEN"
"11002A10-","11002","MEIR - LEYSSTRAAT (SP. WALLEN)","ANTWERPEN"
"11002A11-","11002","KIPDORP-ST.-JACOBS (SP.WALLEN)","ANTWERPEN"
"11002A12-","11002","K.N.S.-NAT. BANK (SP. WALLEN)","ANTWERPEN"
"11002A13-","11002","STADSWAAG-BEGIJNHOF(SP.WALLEN)","ANTWERPEN"
"11002A14-","11002","TABAKSVEST (SPAANSE WALLEN)","ANTWERPEN"
"11002A15-","11002","HESSENHUIS (SPAANSE WALLEN)","ANTWERPEN"
"11002A21-","11002","ST.-ANDRIES (SPAANSE WALLEN)","ANTWERPEN"
"11002A22-","11002","ST.-MICHIELSKAAI (SP. WALLEN)","ANTWERPEN"
"11002B701","11002","LINKEROEVER-ZUID (LINKEROEVER)","ANTWERPEN"
"11002B71-","11002","LINKEROEVER - STATION","ANTWERPEN"
"11002B721","11002","LINKEROEVER-NOORD","ANTWERPEN"
"11002B73-","11002","ST.-ANNA (LINKEROEVER)","ANTWERPEN"
"11002B742","11002","THOENETLAAN (LINKEROEVER)","ANTWERPEN"
"11002B752","11002","GLORIANTLAAN (LINKEROEVER)","ANTWERPEN"
"11002B782","11002","GALGEWEEL (LINKEROEVER)","ANTWERPEN"
"11002B791","11002","ST.-ANNABOS (LINKEROEVER )","ANTWERPEN"
