"CD_RES_SECTOR","INDICATOR","MEASURE"
"11001A00-","score",7.0504403431834
"11001A01-","score",3.54948495544681
"11001A020","score",2.75314068723331
"11001A030","score",8.52330407904532
"11001A042","score",2.43857493102003
"11001A052","score",2.81581675819624
"11001A063","score",4.04173222059676
"11001A074","score",10.5767207765724
"11001A091","score",6.82764500814535
"11001A0MA","score",7.98217308635978
"11001A0PA","score",9.735296801456
"11001A10-","score",5.37206859268612
"11001A173","score",6.0498366017099
"11001A190","score",2.48706622463772
"11001A20-","score",2.63518489866111
"11001A21-","score",5.34822194960228
"11002A00-","score",40.4037357309032
"11002A01-","score",45.6434518924681
"11002A02-","score",31.1230822162019
"11002A03-","score",37.8300476690846
"11002A04-","score",31.6817363122915
"11002A05-","score",41.2797334469555
"11002A10-","score",29.3470089749065
"11002A11-","score",32.4687664111072
"11002A12-","score",48.9748480441355
"11002A13-","score",39.5882224783021
"11002A14-","score",27.9098571534766
"11002A15-","score",48.3777038104934
"11002A21-","score",51.793728055818
"11002A22-","score",38.6984750028804
"11002B701","score",51.0104098848602
"11002B71-","score",24.7737483830292
"11002B721","score",35.0299243223258
"11002B73-","score",30.4939129435138
"11002B742","score",23.5339459752222
"11002B752","score",22.7423228123212
"11002B782","score",29.9686315556236
"11002B791","score",22.8558425925167
"11002B813","score",15.3999237099671
"11002B824","score",48.4915062630005
"11002C20-","score",53.2162485617571
"11002C21-","score",49.3919725657919
"11002C22-","score",57.1967224947577
"11002C23-","score",49.8233664359907
"11002C24-","score",53.3161671653955
"11002C25-","score",41.9211972004788
"11002C31-","score",35.69398700342
"11002C41-","score",53.5604827120071
"11002C42-","score",60.1229869395168
"11002C43-","score",50.8102569855054
"11002C44-","score",58.4909237603161
"11002C45-","score",55.0534906129457
"11002D30-","score",40.1981246860803
"11002D31-","score",33.9073493835813
"11002D32-","score",31.6636705884785
"11002D33-","score",37.1943320188055
"11002D34-","score",37.4865059700023
"11002D35-","score",34.0841812514832
"11002D38-","score",44.2357379404268
"11002D41-","score",36.9231208333132
"11002D42-","score",29.2391845929773
"11002E122","score",41.9899773140108
"11002E131","score",32.3535217266598
"11002E14-","score",33.1546583217323
"11002E15-","score",28.5716215164429
"11002E50-","score",39.3842736212869
"11002E521","score",42.2387437979876
"11002E53-","score",41.8949567908326
"11002E551","score",24.4995161522509
"11002E5MJ","score",36.5031472604307
"11002F11-","score",51.6984781259378
"11002F12-","score",47.9206910394672
"11002F21-","score",27.6144990642259
"11002F223","score",61.427854699205
"11002F60-","score",49.2746487616606
"11002F61-","score",50.3778894490377
"11002F62-","score",50.5859685551009
"11002F64-","score",56.0423641110341
"11002F65-","score",42.244218744416
"11002G51-","score",34.4636814900646
"11002G522","score",29.3566659167146
"11002G53-","score",21.6826617345271
"11002G54-","score",21.0856044706377
"11002G552","score",24.8941361984993
"11002G59-","score",21.1718297085527
"11002G72-","score",26.5303042727755
"11002G73-","score",24.8561461708828
"11002G74-","score",18.6197200249888
"11002G75-","score",19.163809047308
"11002G780","score",22.4710562457585
"11002H40-","score",55.7069101614708
"11002H41-","score",59.6818751519403
"11002H43-","score",56.7124443123269
"11002H44-","score",61.6904444579083
"11002H83-","score",56.5942252286863
"11002H84-","score",56.5872187258913
"11002H8MJ","score",40.9325453261937
"11002J072","score",43.0654579897641
"11002J80-","score",49.8660680990784
"11002J81-","score",40.2207937466673
"11002J820","score",46.477359934476
"11002J83-","score",50.8922611121941
"11002J84-","score",29.3872422262802
"11002J85-","score",34.1943987611176
"11002J873","score",35.4935530623868
"11002J901","score",13.241303541336
"11002J912","score",19.8697824420938
"11002J923","score",10.2167262248218
"11002J932","score",51.2342312146857
"11002J94-","score",18.7025381150716
"11002K171","score",32.4825912079216
"11002K173","score",25.6584606307574
"11002K214","score",18.5060146800291
"11002L000","score",15.8504970330557
"11002L011","score",13.9348626216394
"11002L022","score",24.5424401757257
"11002L090","score",18.4163747244801
"11002L100","score",17.1473773632219
"11002L111","score",14.0116940324261
"11002L122","score",21.9381496657685
"11002L18-","score",19.5571591838258
"11002P00-","score",21.2913174188917
"11002P01-","score",19.8597130010172
"11002P02-","score",20.6518669282619
"11002P03-","score",13.9050511007082
"11002P04-","score",9.99588642678992
"11002P05-","score",7.54780624980715
"11002P100","score",8.37784494170993
"11002P111","score",9.24228775375824
"11002P12-","score",8.75298373528537
"11002P20-","score",10.9653964884428
"11002P21-","score",9.74637942691053
"11002P22-","score",6.42396246312218
"11002P23-","score",11.8132715142325
"11002P242","score",9.13337964386318
"11002P500","score",11.516029277585
"11002P589","score",6.77414637100242
"11002P590","score",9.54051526371513
"11002Q001","score",49.7521724297341
"11002Q012","score",44.3153741551577
"11002Q021","score",46.0497357893584
"11002Q03-","score",27.1909754593896
"11002Q04-","score",28.5175234751111
"11002Q052","score",53.1077395293738
"11002Q072","score",54.7481944803373
"11002Q091","score",20.9741065101096
"11002Q10-","score",28.5158623609896
"11002Q11-","score",17.824155984444
"11002Q12-","score",25.0642008280582
"11002Q13-","score",32.6594204961677
"11002Q14-","score",22.0865102850121
"11002Q17-","score",44.6273883844519
"11002Q201","score",29.5188976491185
"11002Q212","score",18.4268339371346
"11002Q222","score",13.9292053354438
"11002Q233","score",19.3200826344726
"11002Q241","score",19.8565901607833
"11002Q242","score",14.9831862060013
"11002Q2AA","score",8.01131775763168
"11002Q2PA","score",16.4210197259182
"11002Q30-","score",19.2889676835036
"11002R00-","score",45.6763325947917
"11002R01-","score",35.4221128285084
"11002R02-","score",48.7929181666223
"11002R03-","score",41.7298220395943
"11002R04-","score",36.9413896945785
"11002R05-","score",25.3878435415969
"11002R099","score",27.2034958747311
"11002R101","score",49.1992154236643
"11002R110","score",31.8585106529816
"11002R12-","score",43.9971727110703
"11002R13-","score",44.646594310509
"11002R172","score",37.6469865417713
"11002R180","score",32.3470237892333
"11002R19-","score",41.2546677582251
"11002R20-","score",26.2171447020332
"11002R21-","score",25.6080129971613
"11002R22-","score",26.5203479826007
"11002R23-","score",25.0411975288063
"11002R24-","score",27.3541396204927
"11002R30-","score",42.6123470976037
"11002R31-","score",35.5956290246049
"11002R32-","score",41.0301932055631
"11002R33-","score",25.8980615275928
"11002R34-","score",44.4164054625242
"11002R35-","score",31.9012735123714
"11002R39-","score",47.6518191594516
"11002R401","score",25.0649742050444
"11002R41-","score",15.5075000362075
"11002R42-","score",19.1377239293568
"11002R43-","score",22.2783584299445
"11002R44-","score",27.1137886511801
"11002R47-","score",34.1676971935781
"11002S00-","score",46.3420858807216
"11002S01-","score",50.0887816721281
"11002S02-","score",48.1305166999617
"11002S03-","score",49.4820454988554
"11002S04-","score",46.0928907131381
"11002S05-","score",52.8461842654393
"11002S10-","score",34.73098340147
"11002S11-","score",26.4573803678415
"11002S12-","score",31.5971049267918
"11002S13-","score",29.284081161981
"11002S20-","score",49.566858285462
"11002S2MJ","score",29.9122425786715
"11002S30-","score",53.9134886332764
"11002S31-","score",53.1859887106138
"11002S41-","score",32.3211609060909
"11002S42-","score",25.6437753447221
"11002S43-","score",32.8447354310399
"11002T00-","score",47.9331802950811
"11002T01-","score",45.2002221248373
"11002T02-","score",49.4922349479001
"11002T03-","score",33.5612855750445
"11002T04-","score",24.4403017064027
"11002T05-","score",39.5348915909391
"11002T09-","score",31.6136123830995
"11002T10-","score",15.2633837982364
"11002T111","score",18.5142975520452
"11002T12-","score",16.1041444225415
"11002T13-","score",16.2641810630918
"11002T14-","score",16.3624664969755
"11002T180","score",14.07488040401
"11002T20-","score",37.9262074661425
"11002T21-","score",35.3662846640406
"11002T22-","score",30.6402033360033
"11002T23-","score",25.7229431904527
"11002T24-","score",32.6387549734007
"11002T25-","score",22.750960351117
"11002T30-","score",27.2084210823908
"11002T39-","score",35.7720979896438
"11002T412","score",15.8942181047182
"11002T42-","score",20.6943459510706
"11002U00-","score",23.7253367937191
"11002U01-","score",26.6030423686638
"11002U02-","score",20.5001050728351
"11002U03-","score",14.9923840183735
"11002U09-","score",26.3021292962242
"11002U10-","score",23.9590427039082
"11002U11-","score",20.1307310934683
"11002U20-","score",29.1751008036042
"11002U21-","score",39.6698507486803
"11002U22-","score",46.1883857504371
"11002U30-","score",15.2322981534739
"11002U31-","score",16.0506221397319
"11002U32-","score",12.9073823278488
"11002U33-","score",17.6045666941391
"11002U40-","score",8.50958527611136
"11002U41-","score",18.9707913679032
"11002U43-","score",12.7296323993413
"11002U47-","score",7.59649388677715
"11002U57-","score",16.2346523872451
"11002U5MA","score",21.5913455418888
"11002U60-","score",24.1099738336095
"11002U69-","score",9.56159838643813
"11002V00-","score",30.1052039353672
"11002V01-","score",30.4538511982221
"11002V02-","score",37.6867320400862
"11002V03-","score",30.7209492775113
"11002V04-","score",22.0964638080538
"11002V05-","score",32.4087748050182
"11002V07-","score",18.2497975523527
"11002V099","score",35.3136252779765
"11002V10-","score",39.1611285874144
"11002V11-","score",28.7818957496445
"11002V12-","score",45.0854281167146
"11002V13-","score",36.8683662875967
"11002V14-","score",25.9355085713021
"11002V19-","score",22.8153202323877
"11002V20-","score",22.6810080404572
"11002V21-","score",42.1215418072926
"11002V22-","score",19.2811938759373
"11002V23-","score",10.6809345930297
"11002V301","score",38.4914156901734
"11002V312","score",17.6337867922435
"11002V322","score",8.40627112988324
"11002V373","score",14.4572549684326
"11004A00-","score",7.80052371181974
"11004A01-","score",2.6581063210846
"11004A02-","score",2.67521059780116
"11004A03-","score",7.47836939786667
"11004A081","score",8.34148215941822
"11004A09-","score",6.28369665625038
"11004A10-","score",3.92930877268897
"11004A18-","score",11.8161815184662
"11004A19-","score",4.86417225061269
"11004A21-","score",8.84009528112354
"11004A220","score",7.76034799658653
"11004A23-","score",7.25396860601529
"11004A242","score",4.42831551633169
"11004A29-","score",15.1352268418155
"11004B000","score",4.66708886224425
"11004B010","score",2.28986976880604
"11004B022","score",1.8194453295771
"11004B081","score",3.1310555306032
"11004B090","score",8.99042108793945
"11004B19-","score",6.92457908887348
"11005A00-","score",29.8157114396289
"11005A01-","score",32.046170230813
"11005A02-","score",25.3946381905485
"11005A03-","score",33.8832260454035
"11005A04-","score",39.0404260856169
"11005A051","score",10.3742629912031
"11005A072","score",29.4354102637262
"11005A093","score",41.7031667579382
"11005A10-","score",24.3852137935822
"11005A184","score",20.7793378556622
"11005A191","score",16.7871891058911
"11005A20-","score",34.4281896578585
"11005A211","score",18.3423403862472
"11005A22-","score",11.0712894432701
"11005A232","score",31.7324626429011
"11005A242","score",9.8584686907727
"11005A25-","score",6.48438446053379
"11005A30-","score",34.5835700461129
"11007A00-","score",14.4020977365239
"11007A01-","score",14.4485023056372
"11007A020","score",5.17961722436944
"11007A03-","score",17.44641484201
"11007A04-","score",18.9885999666557
"11007A080","score",8.99628996156392
"11007A09-","score",14.7094846172147
"11008A00-","score",14.1813243326327
"11008A01-","score",19.4906388590095
"11008A020","score",10.4098932719001
"11008A03-","score",7.82612469124977
"11008A04-","score",10.4347892309028
"11008A091","score",5.27196518633584
"11008A0AA","score",6.35290956236776
"11008A0BJ","score",14.3169854315715
"11008A0PA","score",4.35082958573774
"11008A10-","score",11.9967701845612
"11008A11-","score",7.01033438712601
"11008A12-","score",5.53012599162467
"11008A19-","score",16.3516641523452
"11008A20-","score",7.77194092174768
"11008A21-","score",7.59984107567529
"11008A22-","score",11.2431524006744
"11008A283","score",17.1465150421155
"11008A30-","score",11.3980558013131
"11008A31-","score",9.75944098708918
"11008A32-","score",12.3472360820855
"11008A332","score",9.6873203988232
"11008A381","score",8.63080838406904
"11008A3MB","score",7.92234158267063
"11008A3PB","score",15.2529315524146
"11008A40-","score",6.90991179022833
"11008A49-","score",9.13103542667875
"11008A500","score",5.93273168348938
"11008A510","score",12.4380959474203
"11008A59-","score",15.2400842610724
"11009A000","score",14.3866902890304
"11009A01-","score",4.97842183471738
"11009A02-","score",16.14719466145
"11009A03-","score",10.2255671071216
"11009A042","score",5.58871633710021
"11009A0AD","score",20.0719079756435
"11009A0MC","score",5.96410864806916
"11009A0PD","score",9.532245393097
"11009A0QC","score",13.2881629818368
"11009A20-","score",5.42257988977607
"11009A21-","score",8.67453764405986
"11009A222","score",4.70177919313693
"11009A29-","score",8.29405522841574
"11009A30-","score",6.1214950244926
"11009A38-","score",3.23281179461819
"11009A3AB","score",8.30752468471134
"11009A3PB","score",8.29593731135118
"11009A49-","score",14.7198145999466
"11009A5AA","score",14.073328668367
"11009A5PA","score",4.06141973510399
"11009B00-","score",13.5718935786004
"11009B01-","score",4.71019025686222
"11009B02-","score",12.4954047154449
"11009B032","score",4.23741781655393
"11009B08-","score",12.3243204289321
"11009B091","score",7.11076492352739
"11009B18-","score",6.22127950268678
"11009B19-","score",9.87823917017975
"11009B20-","score",13.4196428582077
"11009B29-","score",12.2222356502482
"11009B2MA","score",6.68727481618505
"11009B2PA","score",16.4287478146118
"11009C00-","score",6.02772344181112
"11009C01-","score",4.99145892170474
"11009C020","score",5.60373905127193
"11009C03-","score",9.93695594881044
"11009C08-","score",19.1303704226544
"11009C090","score",6.80296828807229
"11013A00-","score",9.21092469495794
"11013A01-","score",5.0648148065513
"11013A02-","score",5.17508758621237
"11013A03-","score",1.98631718977021
"11013A040","score",4.34370966819802
"11013A050","score",8.48126698281392
"11013A090","score",3.28576537314336
"11013A101","score",3.01569717659751
"11013A11-","score",5.19972704771514
"11013A12-","score",5.30049560272723
"11013A132","score",3.27946370931886
"11013A142","score",3.6572538607924
"11013A181","score",4.32120951969423
"11013A19-","score",13.2410419611224
"11013A20-","score",10.0809391085504
"11013A21-","score",9.71081084499007
"11016A000","score",11.7994014314787
"11016A010","score",16.5961211176265
"11016A021","score",23.902203344067
"11016A042","score",15.7315567559713
"11016A052","score",6.37569989391164
"11016A091","score",7.61783630277995
"11016A101","score",8.72039611568652
"11016A112","score",6.59537436140254
"11016A180","score",7.9109781921899
"11016A191","score",12.7685794098019
"11016A1AJ","score",19.7405962704176
"11016A200","score",7.52644815936093
"11016A262","score",19.4604778546518
"11016A273","score",18.4529794295254
"11016A281","score",16.2137774617449
"11016A291","score",13.2502975054143
"11016A300","score",12.6646142473796
"11016A391","score",8.80281126298614
"11016A3AJ","score",15.7783873595527
"11016A401","score",18.6726997803299
"11016A412","score",21.0859782661482
"11016A501","score",6.50144379296385
"11016A592","score",7.72743229035233
"11016A60-","score",12.1777661765668
"11016A691","score",15.3521220302204
"11018A000","score",13.9538333359291
"11018A010","score",6.6416928327822
"11018A021","score",21.6791488188965
"11018A030","score",8.02556751267085
"11018A042","score",11.0949213908331
"11018A054","score",13.7954771978668
"11018A090","score",7.24892596170212
"11018A101","score",28.5027852703663
"11018A111","score",25.0286369149179
"11018A122","score",24.4171533240309
"11018A132","score",9.31863270811023
"11018A143","score",15.3399071732284
"11018A170","score",28.7071627323221
"11018A1MJ","score",12.9946608099351
"11021A00-","score",5.88564460219158
"11021A01-","score",4.28697659431699
"11021A02-","score",4.53258754995307
"11021A03-","score",4.62154845777834
"11021A04-","score",3.4204577866557
"11021A052","score",3.16689256801495
"11021A062","score",2.75881621453905
"11021A081","score",0.900809785080823
"11021A19-","score",5.58192126558354
"11022A001","score",9.17749925677399
"11022A012","score",3.43888052339639
"11022A02-","score",7.75316441155845
"11022A032","score",6.01739606104106
"11022A080","score",8.27046763047077
