"CD_RES_SECTOR","score","rank","deciles"
"11001A00-",7.0504403431834,16288,9
"11001A01-",3.54948495544681,18361,10
"11001A020",2.75314068723331,18583,10
"11001A030",8.52330407904532,14993,8
"11001A042",2.43857493102003,18643,10
"11001A052",2.81581675819624,18577,10
"11001A063",4.04173222059676,18194,10
"11001A074",10.5767207765724,13096,7
"11001A091",6.82764500814535,16438,9
"11001A0MA",7.98217308635978,15483,9
"11001A0PA",9.735296801456,13882,8
"11001A10-",5.37206859268612,17505,10
"11001A173",6.0498366017099,17030,10
"11001A190",2.48706622463772,18637,10
"11001A20-",2.63518489866111,18603,10
"11001A21-",5.34822194960228,17524,10
"11002A00-",40.4037357309032,1515,1
"11002A01-",45.6434518924681,984,1
"11002A02-",31.1230822162019,3001,2
"11002A03-",37.8300476690846,1842,1
"11002A04-",31.6817363122915,2870,2
"11002A05-",41.2797334469555,1429,1
"11002A10-",29.3470089749065,3386,2
"11002A11-",32.4687664111072,2729,2
"11002A12-",48.9748480441355,732,1
"11002A13-",39.5882224783021,1613,1
"11002A14-",27.9098571534766,3719,2
"11002A15-",48.3777038104934,772,1
"11002A21-",51.793728055818,528,1
"11002A22-",38.6984750028804,1720,1
"11002B701",51.0104098848602,574,1
"11002B71-",24.7737483830292,4635,3
"11002B721",35.0299243223258,2250,2
"11002B73-",30.4939129435138,3141,2
"11002B742",23.5339459752222,5079,3
"11002B752",22.7423228123212,5358,3
"11002B782",29.9686315556236,3254,2
"11002B791",22.8558425925167,5316,3
"11002B813",15.3999237099671,9134,5
"11002B824",48.4915062630005,761,1
"11002C20-",53.2162485617571,450,1
"11002C21-",49.3919725657919,706,1
"11002C22-",57.1967224947577,248,1
"11002C23-",49.8233664359907,671,1
"11002C24-",53.3161671653955,445,1
"11002C25-",41.9211972004788,1343,1
"11002C31-",35.69398700342,2143,2
"11002C41-",53.5604827120071,431,1
"11002C42-",60.1229869395168,143,1
"11002C43-",50.8102569855054,587,1
"11002C44-",58.4909237603161,189,1
"11002C45-",55.0534906129457,346,1
"11002D30-",40.1981246860803,1545,1
"11002D31-",33.9073493835813,2435,2
"11002D32-",31.6636705884785,2875,2
"11002D33-",37.1943320188055,1917,2
"11002D34-",37.4865059700023,1880,2
"11002D35-",34.0841812514832,2404,2
"11002D38-",44.2357379404268,1123,1
"11002D41-",36.9231208333132,1952,2
"11002D42-",29.2391845929773,3412,2
"11002E122",41.9899773140108,1336,1
"11002E131",32.3535217266598,2749,2
"11002E14-",33.1546583217323,2565,2
"11002E15-",28.5716215164429,3562,2
"11002E50-",39.3842736212869,1638,1
"11002E521",42.2387437979876,1306,1
"11002E53-",41.8949567908326,1346,1
"11002E551",24.4995161522509,4743,3
"11002E5MJ",36.5031472604307,2017,2
"11002F11-",51.6984781259378,534,1
"11002F12-",47.9206910394672,811,1
"11002F21-",27.6144990642259,3798,3
"11002F223",61.427854699205,108,1
"11002F60-",49.2746487616606,719,1
"11002F61-",50.3778894490377,619,1
"11002F62-",50.5859685551009,605,1
"11002F64-",56.0423641110341,311,1
"11002F65-",42.244218744416,1304,1
"11002G51-",34.4636814900646,2342,2
"11002G522",29.3566659167146,3384,2
"11002G53-",21.6826617345271,5760,4
"11002G54-",21.0856044706377,6004,4
"11002G552",24.8941361984993,4595,3
"11002G59-",21.1718297085527,5967,4
"11002G72-",26.5303042727755,4103,3
"11002G73-",24.8561461708828,4605,3
"11002G74-",18.6197200249888,7197,4
"11002G75-",19.163809047308,6903,4
"11002G780",22.4710562457585,5440,3
"11002H40-",55.7069101614708,325,1
"11002H41-",59.6818751519403,151,1
"11002H43-",56.7124443123269,279,1
"11002H44-",61.6904444579083,99,1
"11002H83-",56.5942252286863,283,1
"11002H84-",56.5872187258913,284,1
"11002H8MJ",40.9325453261937,1467,1
"11002J072",43.0654579897641,1224,1
"11002J80-",49.8660680990784,664,1
"11002J81-",40.2207937466673,1541,1
"11002J820",46.477359934476,915,1
"11002J83-",50.8922611121941,583,1
"11002J84-",29.3872422262802,3381,2
"11002J85-",34.1943987611176,2387,2
"11002J873",35.4935530623868,2177,2
"11002J901",13.241303541336,10841,6
"11002J912",19.8697824420938,6534,4
"11002J923",10.2167262248218,13424,8
"11002J932",51.2342312146857,561,1
"11002J94-",18.7025381150716,7151,4
"11002K171",32.4825912079216,2726,2
"11002K173",25.6584606307574,4385,3
"11002K214",18.5060146800291,7264,4
"11002L000",15.8504970330557,8862,5
"11002L011",13.9348626216394,10264,6
"11002L022",24.5424401757257,4714,3
"11002L090",18.4163747244801,7323,4
