"code","municipality_name","average_score_income_2011","rank_average_score_income_2011","decile_income_2011","average_score_employment_2011","rank_average_score_employment_2011","decile_employment_2011","average_score_education_2011","rank_average_score_education_2011","decile_education_2011","average_score_housing_2011","rank_average_score_housing_2011","decile_housing_2011","average_score_crime_2011","rank_average_score_crime_2011","decile_crime_2011","average_score_health_2011","rank_average_score_health_2011","decile_health_2011","average_score_bimd_2011","rank_average_score_bimd_2011","decile_bimd_2011"
11001,"AARTSELAAR",10.0013816882446,477,9,2.69530273297936,580,10,2.51753985433471,569,10,5.91467894543367,572,10,11.260376145036,359,7,0.135118089998124,584,10,4.63921021039503,587,10
11002,"ANTWERPEN",47.9270568513221,27,1,25.417774162565,183,4,54.7171556134084,24,1,14.3843530855202,414,8,80.8872387259881,11,1,4.36448428761597,467,8,35.2049426483993,78,2
11004,"BOECHOUT",12.2165029546606,423,8,3.95921913932346,554,10,0.809029937191736,585,10,11.035164932444,479,9,20.2205067902829,241,5,1.04142829404442,553,10,6.25991622658215,576,10
11005,"BOOM",27.0680757974489,136,3,21.7139068137902,223,4,41.4862742957008,65,2,23.547285293804,255,5,86.7721127666433,7,1,2.60755704272053,504,9,28.3897970849839,140,3
11007,"BORSBEEK",18.1441156521677,291,5,10.7712148418502,424,8,25.5579263474442,172,3,12.6700020547072,446,8,43.0725926906581,85,2,0.367593341504168,573,10,16.2818166296292,336,6
11008,"BRASSCHAAT",22.2535596505148,210,4,5.71994852878156,511,9,8.43090255943916,443,8,8.45224480245123,527,9,23.9412146037318,204,4,1.62238293702803,533,10,10.4106821668276,501,9
11009,"BRECHT",14.1353441227311,380,7,6.37667619386506,497,9,10.6232235788648,395,7,11.7056711102848,470,8,8.75997542122147,401,7,1.28071675765137,544,10,9.14416690928694,529,9
11013,"EDEGEM",10.1240719956252,472,9,4.4316217388705,538,10,3.24272638286055,555,10,6.05228350010786,564,10,16.2247709336561,288,5,0.290030014957854,580,10,5.48440591655695,581,10
11016,"ESSEN",24.022599229417,178,4,4.78334275516759,527,9,14.0865703939458,323,6,10.757834569887,486,9,10.6399216736126,369,7,0.551084894758978,564,10,11.5111649987809,473,9
11018,"HEMIKSEM",14.6988193441484,363,7,11.5600276129519,408,7,32.5778358638346,110,2,21.2688818136066,294,5,23.189578623657,211,4,1.10424175932044,549,10,17.9116758245006,296,6
11021,"HOVE",7.61806257417765,555,10,2.75776746283101,579,10,0.152655095801378,588,10,8.95195305600229,519,9,14.7146386330612,308,6,1.57844375908417,536,10,4.4286212352681,588,10
11022,"KALMTHOUT",20.7344059642157,246,5,2.07812400464937,586,10,5.30792430165223,502,9,10.159930075666,496,9,7.55124817592889,423,8,0.576560131730712,562,10,7.87752300909203,557,10
11023,"KAPELLEN",15.555504389854,340,6,4.17684459849906,546,10,7.62911526853375,461,8,9.35488475651516,512,9,14.4964334405987,311,6,3.06182604935355,494,9,8.44107690771429,546,10
11024,"KONTICH",11.5690424314193,435,8,4.67976200977694,530,9,4.26106603620266,524,9,12.2663482606953,461,8,35.457188378503,121,3,7.70601635643476,397,7,9.08374150878457,530,9
