"CD_MUNTY_REFNIS","CD_RES_SECTOR","SECTOR_NAME","COMMUNE"
11001,"11001A00-","AARTSELAAR-CENTRUM","AARTSELAAR"
11001,"11001A01-","DE LEEUWERIK","AARTSELAAR"
11001,"11001A020","BUERSTEDE","AARTSELAAR"
11001,"11001A030","YSSELAAR","AARTSELAAR"
11001,"11001A042","KLEINE GRIPPE","AARTSELAAR"
11001,"11001A052","LEUG","AARTSELAAR"
11001,"11001A063","TEN DORPE","AARTSELAAR"
11001,"11001A074","BRUINEN BAARD","AARTSELAAR"
11001,"11001A091","KLEISTRAAT - OEVER","AARTSELAAR"
11001,"11001A0MA","CLEYDAEL-KASTEEL","AARTSELAAR"
11001,"11001A0PA","ZINKVAL","AARTSELAAR"
11001,"11001A10-","'T HEIKEN","AARTSELAAR"
11001,"11001A173","NOTELAAN","AARTSELAAR"
11001,"11001A190","DE REUKENS","AARTSELAAR"
11001,"11001A20-","DE KOEKOEK","AARTSELAAR"
11001,"11001A21-","VIERPALEN","AARTSELAAR"
11002,"1100212MQ","STABROEK","ANTWERPEN"
11002,"11002A00-","ANTWERPEN KERN - OUDE STAD (SPAANSE WALLEN )","ANTWERPEN"
11002,"11002A01-","KLAPDORP - BROUWERSVLIET","ANTWERPEN"
11002,"11002A02-","GROENPLAATS (SPAANSE WALLEN)","ANTWERPEN"
11002,"11002A03-","HOOGSTRAAT (SPAANSE WALLEN)","ANTWERPEN"
11002,"11002A04-","OUDAAN (SPAANSE WALLEN)","ANTWERPEN"
11002,"11002A05-","GEVANGENIS (SPAANSE WALLEN)","ANTWERPEN"
11002,"11002A081","SCHELDEKADEN NOORD","ANTWERPEN"
11002,"11002A10-","MEIR - LEYSSTRAAT (SP. WALLEN)","ANTWERPEN"
11002,"11002A11-","KIPDORP-ST.-JACOBS (SP.WALLEN)","ANTWERPEN"
11002,"11002A12-","K.N.S.-NAT. BANK (SP. WALLEN)","ANTWERPEN"
11002,"11002A13-","STADSWAAG-BEGIJNHOF(SP.WALLEN)","ANTWERPEN"
11002,"11002A14-","TABAKSVEST (SPAANSE WALLEN)","ANTWERPEN"
11002,"11002A15-","HESSENHUIS (SPAANSE WALLEN)","ANTWERPEN"
11002,"11002A21-","ST.-ANDRIES (SPAANSE WALLEN)","ANTWERPEN"
11002,"11002A22-","ST.-MICHIELSKAAI (SP. WALLEN)","ANTWERPEN"
11002,"11002B701","LINKEROEVER-ZUID (LINKEROEVER)","ANTWERPEN"
11002,"11002B71-","LINKEROEVER - STATION","ANTWERPEN"
11002,"11002B721","LINKEROEVER-NOORD","ANTWERPEN"
11002,"11002B73-","ST.-ANNA (LINKEROEVER)","ANTWERPEN"
11002,"11002B742","THOENETLAAN (LINKEROEVER)","ANTWERPEN"
11002,"11002B752","GLORIANTLAAN (LINKEROEVER)","ANTWERPEN"
11002,"11002B782","GALGEWEEL (LINKEROEVER)","ANTWERPEN"
11002,"11002B791","ST.-ANNABOS (LINKEROEVER )","ANTWERPEN"
11002,"11002B813","BLANCEFLOERLAAN  (LINKEROEVER)","ANTWERPEN"
11002,"11002B824","CHARLES DE COSTERLAAN(L.OEVER)","ANTWERPEN"
